,description,linkRelationship,@type,articleStatus,url,name,mainEntityOfPage.@type,mainEntityOfPage.genre,mainEntityOfPage.datePublished,mainEntityOfPage.dateModified,mainEntityOfPage.lastReviewed,mainEntityOfPage.reviewDue,mainEntityOfPage.keywords,mainEntityOfPage.code,mainEntityOfPage.alternateName,subjectOf.genre,subjectOf.@type,subjectOf.name,subjectOf.url,subjectOf.description
130,Find out about insulin for type 1 diabetes.,Result,LinkRole,published,https://api.nhs.uk/conditions/type-1-diabetes/about-insulin/,About insulin,MedicalWebPage,condition,2018-07-24T14:47:39+00:00,2019-01-22T11:59:42+00:00,"['2018-05-14T13:39:00+00:00', '2021-05-14T13:39:00+00:00']",2021-05-14T13:39:00+00:00,,"[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,condition,CollectionPage,Type 1 diabetes,https://api.nhs.uk/conditions/type-1-diabetes/,NHS guide to type 1 diabetes.
131,Read about how alcohol and drugs can affect you if you have type 1 diabetes.,Result,LinkRole,published,https://api.nhs.uk/conditions/type-1-diabetes/alcohol-and-drugs/,Alcohol and drugs,MedicalWebPage,condition,2018-07-24T14:48:18+00:00,2020-09-01T10:20:02+00:00,"['2018-05-14T13:55:00+00:00', '2021-05-14T13:55:00+00:00']",2021-05-14T13:55:00+00:00,,"[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,condition,CollectionPage,Type 1 diabetes,https://api.nhs.uk/conditions/type-1-diabetes/,NHS guide to type 1 diabetes.
132,Diabetes can increase your risk of getting other health problems.,Result,LinkRole,published,https://api.nhs.uk/conditions/type-1-diabetes/avoiding-complications/,Avoiding complications,MedicalWebPage,condition,2018-07-24T14:49:41+00:00,2020-09-01T12:39:46+00:00,"['2018-05-14T14:06:00+00:00', '2021-05-14T14:06:00+00:00']",2021-05-14T14:06:00+00:00,,"[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,condition,CollectionPage,Type 1 diabetes,https://api.nhs.uk/conditions/type-1-diabetes/,NHS guide to type 1 diabetes.
133,"Read about type 1 diabetes, which causes the level of glucose (sugar) in your blood to become too high.",Result,LinkRole,published,https://api.nhs.uk/conditions/type-1-diabetes/about-type-1-diabetes/,About type 1 diabetes,MedicalWebPage,condition,2018-07-24T14:49:17+00:00,2020-09-01T10:16:16+00:00,"['2018-05-14T14:07:00+00:00', '2021-05-14T14:07:00+00:00']",2021-05-14T14:07:00+00:00,,"[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,condition,CollectionPage,Type 1 diabetes,https://api.nhs.uk/conditions/type-1-diabetes/,NHS guide to type 1 diabetes.
134,"Choose which area of your foot hurts most to read about treatments, when to get medical help and possible causes of foot pain.",Result,LinkRole,published,https://api.nhs.uk/conditions/foot-pain/,Foot pain,CollectionPage,condition,2019-04-10T09:44:24+00:00,2019-12-17T12:17:18+00:00,,,,,"['heel pain', 'Toe pain', 'ankle pain']",,,,,
135,There are lots of causes of ankle pain. You can usually ease the pain yourself. But see a GP if the pain does not improve.,Result,LinkRole,published,https://api.nhs.uk/conditions/foot-pain/ankle-pain/,Ankle pain,MedicalWebPage,condition,2019-04-10T09:46:43+00:00,2019-04-18T14:19:36+00:00,"['2019-04-01T13:33:00+00:00', '2022-04-01T13:33:00+00:00']",2022-04-01T13:33:00+00:00,,"[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,condition,CollectionPage,Foot pain,https://api.nhs.uk/conditions/foot-pain/,"Choose which area of your foot hurts most to read about treatments, when to get medical help and possible causes of foot pain."
136,NHS guide to autism. Find out what autism is and what the common signs are. Get help and advice if you or your child are autistic.,Result,LinkRole,published,https://api.nhs.uk/conditions/autism/,Autism,MedicalWebPage,hub,2019-05-02T14:14:44+00:00,2019-07-12T10:33:48+00:00,,,,,"[""Asperger's""]",,,,,
137,"Information and advice with managing autism in everyday life, such as how help to get support and advice about schools.",Result,LinkRole,published,https://api.nhs.uk/conditions/autism/autism-and-everyday-life/,Autism and everyday life,MedicalWebPage,hub,2019-05-02T14:17:20+00:00,2019-07-31T10:19:12+00:00,,,,,,hub,MedicalWebPage,Autism,https://api.nhs.uk/conditions/autism/,This guide can help if you or someone you care about is autistic or might be autistic.
138,"Read practical tips and advice on what to do if you're struggling with anxiety, fear or panic",Result,LinkRole,published,https://api.nhs.uk/conditions/stress-anxiety-depression/understanding-panic/,"Anxiety, fear and panic",MedicalWebPage,condition,2019-11-11T10:01:33+00:00,2021-01-20T15:24:12+00:00,"['2019-10-15T13:01:00+00:00', '2022-10-15T13:01:00+00:00']",2022-10-15T13:01:00+00:00,,"[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,condition,CollectionPage,Mental health and wellbeing,https://api.nhs.uk/conditions/stress-anxiety-depression/,"Advice and support from the NHS for common problems like stress, anxiety and depression"
139,Read practical tips and advice on what to do if you're struggling with anger,Result,LinkRole,published,https://api.nhs.uk/conditions/stress-anxiety-depression/controlling-anger/,Anger,MedicalWebPage,condition,2019-11-11T10:00:25+00:00,2020-04-22T10:12:25+00:00,"['2019-10-15T13:23:00+00:00', '2022-10-15T13:23:00+00:00']",2022-10-15T13:23:00+00:00,,"[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,condition,CollectionPage,Mental health and wellbeing,https://api.nhs.uk/conditions/stress-anxiety-depression/,"Advice and support from the NHS for common problems like stress, anxiety and depression"
140,"How to help your child deal with anxiety about things such as going to school or socialising with friends. Also, how to tell when it's time to seek medical help.",Result,LinkRole,published,https://api.nhs.uk/conditions/stress-anxiety-depression/anxiety-in-children/,Anxiety in children,MedicalWebPage,condition,2019-11-11T10:05:25+00:00,2020-01-27T14:58:15+00:00,"['2019-12-13T00:00:00+00:00', '2022-12-13T00:00:00+00:00']",2022-12-13T00:00:00+00:00,,"[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,condition,CollectionPage,Mental health and wellbeing,https://api.nhs.uk/conditions/stress-anxiety-depression/,"Advice and support from the NHS for common problems like stress, anxiety and depression"
